"","game_year","player_name","arm_angle","arm_slot","throws","pitch_name","avg_pitch_velo","avg_release_spin","height"
"11930",2019,"Joey Lucchesi",48.45,"Three-Quarters","L","Cutter",90.48,2232.66,6.42
"11931",2019,"Liam Hendriks",43.71,"Three-Quarters","R","2-Seam Fastball",93.75,2162.75,6
"11932",2019,"Dakota Hudson",51.07,"Three-Quarters","R","Changeup",88.14,1462.41,6.42
"11933",2019,"Aaron Sanchez",55.4,"Three-Quarters","R","4-Seam Fastball",93.45,2254.19,6.33
"11934",2019,"Aaron Sanchez",56.86,"Three-Quarters","R","2-Seam Fastball",93.86,2245.43,6.33
"11935",2019,"Aaron Sanchez",53.81,"Three-Quarters","R","Curveball",78.41,2842.28,6.33
"11936",2019,"Aaron Sanchez",59.35,"Three-Quarters","R","Changeup",88.03,1813.93,6.33
"11937",2019,"Brandon Woodruff",46.68,"Three-Quarters","R","Curveball",81.14,2292.5,6.33
"11938",2019,"David Price",69.66,"Three-Quarters","L","Knuckle Curve",80.46,2263.98,6.42
"11939",2019,"Jon Gray",47.6,"Three-Quarters","R","Changeup",86.67,1561.54,6.33
"11940",2019,"Dereck Rodriguez",32.06,"Three-Quarters","R","Cutter",86.57,2164.29,6
"11941",2019,"Shane Bieber",48.02,"Three-Quarters","R","Slider",85.02,2370.11,6.25
"11942",2019,"Shane Bieber",44.8,"Three-Quarters","R","4-Seam Fastball",93.08,2253.31,6.25
"11943",2019,"Shane Bieber",46.44,"Three-Quarters","R","Knuckle Curve",82.69,2301.29,6.25
"11944",2019,"Shane Bieber",52.19,"Three-Quarters","R","Changeup",87.59,1722.08,6.25
"11945",2019,"Tyler Chatwood",58.2,"Three-Quarters","R","Changeup",87.69,1784.8,5.92
"11946",2019,"Brett Anderson",38.25,"Three-Quarters","L","Sinker",90.71,1799.18,6.33
"11947",2019,"Dylan Bundy",50.12,"Three-Quarters","R","2-Seam Fastball",91.32,2288.54,6.08
"11948",2019,"Brett Anderson",36.62,"Three-Quarters","L","Changeup",82.58,1482.94,6.33
"11949",2019,"Brett Anderson",34.93,"Three-Quarters","L","Slider",81.89,2383.05,6.33
"11950",2019,"Brett Anderson",31.65,"Three-Quarters","L","4-Seam Fastball",89.38,2027.38,6.33
"11951",2019,"Brett Anderson",30.75,"Three-Quarters","L","Knuckle Curve",75.64,2392.16,6.33
"11952",2019,"Hansel Robles",32.37,"Three-Quarters","R","Changeup",89.5,1593.6,6
"11953",2019,"Neil Ramirez",41.1,"Three-Quarters","R","Curveball",79.31,2729.65,6.33
"11954",2019,"Taylor Clarke",39.18,"Three-Quarters","R","4-Seam Fastball",93.72,2313.31,6.33
"11955",2019,"Seunghwan Oh",61.15,"Three-Quarters","R","Changeup",82.2,1718.33,5.83
"11956",2019,"Taylor Clarke",40.39,"Three-Quarters","R","2-Seam Fastball",93.11,2155.81,6.33
"11957",2019,"Taylor Clarke",36.44,"Three-Quarters","R","Slider",85.31,2226.99,6.33
"11958",2019,"Taylor Clarke",36.31,"Three-Quarters","R","Curveball",79.25,2476.89,6.33
"11959",2019,"Raisel Iglesias",54.86,"Three-Quarters","R","Slider",83.93,2534.01,6.17
"11960",2019,"Taylor Clarke",45.4,"Three-Quarters","R","Changeup",86.76,1519.68,6.33
"11961",2019,"Adam Warren",46.1,"Three-Quarters","R","Changeup",84.95,1772.1,6.08
"11962",2019,"Adam Warren",37.75,"Three-Quarters","R","4-Seam Fastball",91.36,2151.22,6.08
"11963",2019,"Adam Warren",39.78,"Three-Quarters","R","Slider",85.58,2226.39,6.08
"11964",2019,"Adam Warren",40.53,"Three-Quarters","R","2-Seam Fastball",91.7,2027,6.08
"11965",2019,"Randy Rosario",47.28,"Three-Quarters","L","Curveball",80.5,1169,6.08
"11966",2019,"Paul Sewald",84.64,"Side Arm","R","4-Seam Fastball",90.66,2322.69,6.25
"11967",2019,"Paul Sewald",81.94,"Side Arm","R","Slider",81.28,2241.94,6.25
"11968",2019,"Adam Warren",38.11,"Three-Quarters","R","Curveball",78.8,2102.6,6.08
